onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.984	2	FaceMatching	2051	1	Stim8_Base	Stim8_SmallDistance	b
12.984	2	FaceMatching	1923	1	Stim3_LargeDistance	Stim3_LargeDistance	c
18.217	2	FaceMatching	0	0	Stim6_Base	Stim6_SmallDistance	b
19.5	2	FaceMatching	1263	1	Stim9_Base	Stim9_SmallDistance	b
23.5	2	FaceMatching	1407	1	Stim6_LargeDistance	Stim6_LargeDistance	c
26.5	2	FaceMatching	2271	1	Stim5_LargeDistance	Stim5_Base	b
41.484	2	FaceMatching	1943	1	Stim2_LargeDistance	Stim2_LargeDistance	c
45.5	2	FaceMatching	1167	1	Stim3_LargeDistance	Stim3_Base	b
48.5	2	FaceMatching	1215	0	Stim7_LargeDistance	Stim7_LargeDistance	c
52.0	2	FaceMatching	1755	1	Stim8_LargeDistance	Stim8_LargeDistance	c
56.0	2	FaceMatching	1163	1	Stim5_LargeDistance	Stim5_LargeDistance	c
59.5	2	FaceMatching	1671	1	Stim1_LargeDistance	Stim1_Base	b
70.984	2	FaceMatching	2235	1	Stim9_LargeDistance	Stim9_LargeDistance	c
74.484	2	FaceMatching	1775	1	Stim7_Base	Stim7_SmallDistance	b
78.5	2	FaceMatching	1527	1	Stim4_LargeDistance	Stim4_LargeDistance	c
81.5	2	FaceMatching	1127	0	Stim4_LargeDistance	Stim4_Base	b
85.0	2	FaceMatching	1579	1	Stim2_LargeDistance	Stim2_Base	b
88.0	2	FaceMatching	987	0	Stim1_LargeDistance	Stim1_LargeDistance	c
106.484	2	NumberMatching	1599	1	D3_1	N7	b
109.984	2	NumberMatching	1339	1	D5_1	N7	b
112.984	2	NumberMatching	1651	0	D9_2	N9	c
116.984	2	NumberMatching	1523	0	N8	D8_1	c
120.484	2	NumberMatching	1335	1	D9_1	N5	b
124.484	2	NumberMatching	2199	1	N8	D6_2	b
138.984	2	ShapeMatching	1411	1	S8	S6	b
142.484	2	ShapeMatching	1247	0	S5	S5	c
145.484	2	ShapeMatching	255	1	S3	S3	c
149.484	2	ShapeMatching	895	1	S4	S4	c
152.484	2	ShapeMatching	943	1	S2	S9	b
156.484	2	ShapeMatching	1031	1	S5	S3	b
168.484	2	NumberMatching	1879	1	D3_2	N3	c
172.484	2	NumberMatching	903	1	N2	D2_1	c
175.984	2	NumberMatching	1339	1	N4	D2_2	b
178.984	2	NumberMatching	731	1	D7_2	N7	c
182.484	2	NumberMatching	1247	1	D1_2	N1	c
186.484	2	NumberMatching	1695	0	D5_2	N5	c
197.984	2	ShapeMatching	1571	1	S6	S4	b
201.484	2	ShapeMatching	1959	1	S8	S8	c
204.484	2	ShapeMatching	1119	1	S3	S1	b
208.484	2	ShapeMatching	1527	1	S1	S1	c
211.984	2	ShapeMatching	1403	1	S6	S6	c
214.984	2	ShapeMatching	939	1	S7	S5	b
230.484	2	ShapeMatching	1247	1	S1	S8	b
233.984	2	ShapeMatching	1163	1	S9	S9	c
237.984	2	ShapeMatching	923	1	S2	S2	c
240.984	2	ShapeMatching	859	1	S7	S7	c
244.984	2	ShapeMatching	1267	1	S9	S7	b
248.484	2	ShapeMatching	1039	1	S4	S2	b
265.984	2	NumberMatching	1571	1	N2	D6_2	b
269.484	2	NumberMatching	2191	0	N6	D6_1	c
272.484	2	NumberMatching	1407	1	N4	D4_1	c
276.484	2	NumberMatching	951	1	N6	D9_2	b
279.484	2	NumberMatching	1367	0	D7_1	N3	b
282.984	2	NumberMatching	1387	1	D1_1	N3	b
