onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.983	2	ShapeMatching	1104	1	S4	S4	c
11.983	2	ShapeMatching	1080	1	S1	S2	b
15.866	2	ShapeMatching	1005	1	S8	S9	b
19.483	2	ShapeMatching	1204	1	S2	S3	b
22.483	2	ShapeMatching	1148	1	S3	S4	b
25.983	2	ShapeMatching	1248	1	S5	S6	b
41.483	2	ShapeMatching	1260	1	S9	S1	b
44.983	2	ShapeMatching	1056	1	S3	S3	c
47.983	2	ShapeMatching	1536	1	S7	S8	b
51.983	2	ShapeMatching	928	1	S6	S6	c
55.483	2	ShapeMatching	2900	1	S9	S9	c
59.483	2	ShapeMatching	876	1	S1	S1	c
76.983	2	FaceMatching	2128	0	Stim5_Base	Stim5_SmallDistance	b
80.483	2	FaceMatching	1228	1	Stim1_Base	Stim1_Base	c
83.5	2	FaceMatching	2595	1	Stim3_Base	Stim3_SmallDistance	b
87.483	2	FaceMatching	164	1	Stim4_Base	Stim4_SmallDistance	b
91.0	2	FaceMatching	1535	1	Stim2_Base	Stim2_SmallDistance	b
95.0	2	FaceMatching	2167	1	Stim8_LargeDistance	Stim8_Base	b
112.483	2	ShapeMatching	1189	1	S8	S8	c
115.983	2	ShapeMatching	1601	1	S4	S5	b
118.983	2	ShapeMatching	1304	1	S5	S5	c
122.983	2	ShapeMatching	1497	1	S6	S7	b
125.983	2	ShapeMatching	1032	1	S7	S7	c
129.983	2	ShapeMatching	1193	1	S2	S2	c
141.983	2	NumberMatching	1273	1	N7	D4_2	b
144.983	2	NumberMatching	1009	0	D6_1	N3	b
148.483	2	NumberMatching	901	1	D2_2	N2	c
152.483	2	NumberMatching	2453	1	N9	D7_2	b
155.983	2	NumberMatching	2625	0	D6_2	N6	c
158.983	2	NumberMatching	233	1	N3	D3_1	c
174.483	2	FaceMatching	2325	1	Stim7_LargeDistance	Stim7_Base	b
177.983	2	FaceMatching	1345	1	Stim4_Base	Stim4_Base	c
182.0	2	FaceMatching	1552	1	Stim2_Base	Stim2_Base	c
185.0	2	FaceMatching	1472	1	Stim6_LargeDistance	Stim6_Base	b
188.5	2	FaceMatching	956	1	Stim3_Base	Stim3_Base	c
192.5	2	FaceMatching	1676	1	Stim9_Base	Stim9_Base	c
203.983	2	FaceMatching	1177	1	Stim6_Base	Stim6_Base	c
207.5	2	FaceMatching	1572	1	Stim5_Base	Stim5_Base	c
211.5	2	FaceMatching	2948	1	Stim1_Base	Stim1_SmallDistance	b
214.483	2	FaceMatching	1005	0	Stim9_LargeDistance	Stim9_Base	b
218.483	2	FaceMatching	1349	1	Stim8_Base	Stim8_Base	c
221.5	2	FaceMatching	2332	1	Stim7_Base	Stim7_Base	c
236.483	2	NumberMatching	901	1	N1	D1_1	c
240.483	2	NumberMatching	1077	1	D2_1	N5	b
243.483	2	NumberMatching	1517	1	D4_1	N8	b
246.983	2	NumberMatching	2633	0	N9	D9_1	c
249.983	2	NumberMatching	849	1	N5	D5_1	c
253.983	2	NumberMatching	1905	1	D8_2	N8	c
271.983	2	NumberMatching	1489	1	N3	D5_2	b
274.983	2	NumberMatching	841	1	D4_2	N4	c
278.483	2	NumberMatching	1285	1	N5	D1_2	b
282.483	2	NumberMatching	1109	1	D8_1	N5	b
285.984	2	NumberMatching	2000	1	N7	D7_1	c
288.984	2	NumberMatching	64	0	N1	D4_2	b
