onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.967	2	NumberMatching	1568	1	N4	D4_1	c
12.984	2	NumberMatching	1151	1	D1_1	N3	b
16.484	2	NumberMatching	1451	1	D7_2	N7	c
19.484	2	NumberMatching	2083	1	D3_2	N3	c
22.967	2	NumberMatching	1776	1	D5_2	N5	c
25.984	2	NumberMatching	1471	0	D9_2	N9	c
44.467	2	NumberMatching	1572	1	D9_1	N5	b
47.484	2	NumberMatching	1219	1	N4	D2_2	b
51.484	2	NumberMatching	1067	1	N8	D8_1	c
54.984	2	NumberMatching	1832	1	D3_1	N7	b
57.984	2	NumberMatching	1992	1	N6	D6_1	c
61.467	2	NumberMatching	1509	1	D7_1	N3	b
73.967	2	FaceMatching	1593	1	Stim6_Base	Stim6_SmallDistance	b
77.0	2	FaceMatching	1448	0	Stim3_LargeDistance	Stim3_Base	b
81.0	2	FaceMatching	1496	1	Stim5_LargeDistance	Stim5_Base	b
84.5	2	FaceMatching	1844	0	Stim9_Base	Stim9_SmallDistance	b
87.5	2	FaceMatching	1892	1	Stim4_LargeDistance	Stim4_Base	b
91.0	2	FaceMatching	2000	1	Stim5_LargeDistance	Stim5_LargeDistance	c
103.467	2	ShapeMatching	1213	1	S1	S8	b
106.984	2	ShapeMatching	1320	1	S3	S3	c
110.984	2	ShapeMatching	1120	1	S7	S5	b
113.984	2	ShapeMatching	1304	1	S1	S1	c
117.484	2	ShapeMatching	1036	1	S6	S6	c
120.484	2	ShapeMatching	1276	1	S8	S8	c
132.967	2	FaceMatching	1297	1	Stim8_LargeDistance	Stim8_LargeDistance	c
136.501	2	FaceMatching	1683	1	Stim7_LargeDistance	Stim7_LargeDistance	c
140.501	2	FaceMatching	1467	1	Stim1_LargeDistance	Stim1_LargeDistance	c
143.501	2	FaceMatching	1291	1	Stim7_Base	Stim7_SmallDistance	b
147.501	2	FaceMatching	1619	1	Stim2_LargeDistance	Stim2_LargeDistance	c
151.001	2	FaceMatching	1223	1	Stim2_LargeDistance	Stim2_Base	b
168.467	2	NumberMatching	1693	1	D1_2	N1	c
171.984	2	NumberMatching	1488	1	D5_1	N7	b
175.984	2	NumberMatching	1768	1	N2	D6_2	b
178.984	2	NumberMatching	1280	1	N6	D9_2	b
182.484	2	NumberMatching	1172	1	N2	D2_1	c
186.484	2	NumberMatching	1388	1	N8	D6_2	b
200.967	2	ShapeMatching	1393	1	S8	S6	b
204.984	2	ShapeMatching	1176	1	S4	S2	b
208.484	2	ShapeMatching	1812	1	S5	S3	b
211.484	2	ShapeMatching	1436	1	S2	S9	b
214.984	2	ShapeMatching	1024	1	S4	S4	c
217.984	2	ShapeMatching	1152	1	S6	S4	b
233.467	2	FaceMatching	1685	1	Stim6_LargeDistance	Stim6_LargeDistance	c
237.001	2	FaceMatching	1431	1	Stim3_LargeDistance	Stim3_LargeDistance	c
241.001	2	FaceMatching	1599	1	Stim9_LargeDistance	Stim9_LargeDistance	c
244.001	2	FaceMatching	1519	1	Stim8_Base	Stim8_SmallDistance	b
248.001	2	FaceMatching	1375	1	Stim1_LargeDistance	Stim1_Base	b
251.001	2	FaceMatching	1455	1	Stim4_LargeDistance	Stim4_LargeDistance	c
265.968	2	ShapeMatching	1680	1	S7	S7	c
269.984	2	ShapeMatching	1288	1	S9	S7	b
272.984	2	ShapeMatching	1616	1	S2	S2	c
276.484	2	ShapeMatching	1300	1	S9	S9	c
279.484	2	ShapeMatching	1100	1	S5	S5	c
283.484	2	ShapeMatching	1020	1	S3	S1	b
