onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.867	2	FaceMatching	2208	0	Stim3_Base	Stim3_Base	c
12.367	2	FaceMatching	1308	1	Stim5_Base	Stim5_SmallDistance	b
16.484	2	FaceMatching	2031	1	Stim7_LargeDistance	Stim7_Base	b
19.367	2	FaceMatching	1324	1	Stim7_Base	Stim7_Base	c
22.95	2	FaceMatching	1293	1	Stim2_Base	Stim2_Base	c
27.034	2	FaceMatching	2049	0	Stim1_Base	Stim1_SmallDistance	b
41.367	2	FaceMatching	1396	1	Stim6_LargeDistance	Stim6_Base	b
44.934	2	FaceMatching	1653	1	Stim8_LargeDistance	Stim8_Base	b
47.967	2	FaceMatching	1524	1	Stim4_Base	Stim4_SmallDistance	b
51.9	2	FaceMatching	1319	1	Stim5_Base	Stim5_Base	c
54.9	2	FaceMatching	1927	1	Stim8_Base	Stim8_Base	c
58.9	2	FaceMatching	1223	1	Stim1_Base	Stim1_Base	c
76.867	2	NumberMatching	1728	1	N7	D4_2	b
80.934	2	NumberMatching	2229	1	D6_2	N6	c
83.867	2	NumberMatching	1088	1	N3	D5_2	b
87.367	2	NumberMatching	1524	1	N1	D1_1	c
91.384	2	NumberMatching	1187	0	D8_1	N5	b
94.867	2	NumberMatching	1608	1	N3	D3_1	c
109.367	2	NumberMatching	2908	1	D8_2	N8	c
113.367	2	NumberMatching	916	1	D6_1	N3	b
116.95	2	NumberMatching	1357	1	N9	D9_1	c
119.867	2	NumberMatching	1816	0	N7	D7_1	c
123.867	2	NumberMatching	968	1	D2_1	N5	b
126.884	2	NumberMatching	1775	0	N5	D5_1	c
144.867	2	ShapeMatching	1312	1	S9	S1	b
148.967	2	ShapeMatching	2052	1	S7	S8	b
151.867	2	ShapeMatching	1272	1	S2	S3	b
155.367	2	ShapeMatching	900	1	S3	S3	c
159.434	2	ShapeMatching	2209	1	S5	S5	c
162.867	2	ShapeMatching	808	1	S4	S5	b
174.367	2	NumberMatching	1788	1	D4_1	N8	b
178.384	2	NumberMatching	1707	1	D2_2	N2	c
181.884	2	NumberMatching	1191	1	N5	D1_2	b
184.867	2	NumberMatching	1144	0	N1	D4_2	b
188.884	2	NumberMatching	1263	0	N9	D7_2	b
192.367	2	NumberMatching	972	0	D4_2	N4	c
203.867	2	FaceMatching	2312	1	Stim6_Base	Stim6_Base	c
207.867	2	FaceMatching	1	0	Stim9_LargeDistance	Stim9_Base	b
211.367	2	FaceMatching	0	0	Stim2_Base	Stim2_SmallDistance	b
214.401	2	FaceMatching	1914	1	Stim9_Base	Stim9_Base	c
218.401	2	FaceMatching	2642	1	Stim4_Base	Stim4_Base	c
221.867	2	FaceMatching	1288	1	Stim3_Base	Stim3_SmallDistance	b
233.367	2	ShapeMatching	1060	1	S6	S6	c
236.867	2	ShapeMatching	1008	0	S5	S6	b
240.884	2	ShapeMatching	1111	1	S6	S7	b
243.867	2	ShapeMatching	264	1	S8	S9	b
247.384	2	ShapeMatching	1091	1	S2	S2	c
251.384	2	ShapeMatching	1819	0	S1	S1	c
265.867	2	ShapeMatching	2112	1	S9	S9	c
269.367	2	ShapeMatching	1028	1	S1	S2	b
272.367	2	ShapeMatching	1132	0	S7	S7	c
276.384	2	ShapeMatching	1547	1	S4	S4	c
279.884	2	ShapeMatching	1647	1	S3	S4	b
283.884	2	ShapeMatching	2351	0	S8	S8	c
