onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.983	2	NumberMatching	1593	1	N4	D4_1	c
12.5	2	NumberMatching	1485	1	D1_1	N3	b
16.5	2	NumberMatching	1316	1	D1_2	N1	c
19.483	2	NumberMatching	1253	1	D7_1	N3	b
23.483	2	NumberMatching	1349	1	N2	D2_1	c
26.483	2	NumberMatching	1325	1	D5_1	N7	b
44.483	2	ShapeMatching	1165	1	S8	S8	c
47.483	2	ShapeMatching	2077	1	S2	S2	c
51.483	2	ShapeMatching	925	1	S3	S3	c
54.983	2	ShapeMatching	1065	1	S5	S5	c
59.0	2	ShapeMatching	1040	1	S9	S9	c
61.983	2	ShapeMatching	994	1	S4	S2	b
79.983	2	NumberMatching	1617	1	N8	D8_1	c
83.983	2	NumberMatching	2217	0	N6	D6_1	c
87.483	2	NumberMatching	989	1	D3_2	N3	c
90.483	2	NumberMatching	1037	1	D9_1	N5	b
94.483	2	NumberMatching	1045	1	D7_2	N7	c
97.483	2	NumberMatching	1013	1	N2	D6_2	b
109.483	2	FaceMatching	1981	1	Stim8_LargeDistance	Stim8_LargeDistance	c
112.567	2	FaceMatching	1809	1	Stim2_LargeDistance	Stim2_LargeDistance	c
116.5	2	FaceMatching	1884	0	Stim2_LargeDistance	Stim2_Base	b
119.983	2	FaceMatching	1273	0	Stim3_LargeDistance	Stim3_LargeDistance	c
124.0	2	FaceMatching	1064	1	Stim9_LargeDistance	Stim9_LargeDistance	c
127.567	2	FaceMatching	1561	1	Stim1_LargeDistance	Stim1_Base	b
138.983	2	NumberMatching	1249	1	D5_2	N5	c
142.983	2	NumberMatching	1473	1	N8	D6_2	b
145.983	2	NumberMatching	1169	0	D3_1	N7	b
149.483	2	NumberMatching	1765	1	D9_2	N9	c
152.483	2	NumberMatching	1213	1	N6	D9_2	b
156.483	2	NumberMatching	1837	1	N4	D2_2	b
171.483	2	FaceMatching	0	0	Stim7_LargeDistance	Stim7_LargeDistance	c
174.5	2	FaceMatching	0	0	Stim3_LargeDistance	Stim3_Base	b
178.067	2	FaceMatching	0	0	Stim4_LargeDistance	Stim4_Base	b
182.067	2	FaceMatching	2045	0	Stim7_Base	Stim7_SmallDistance	b
184.984	2	FaceMatching	1120	1	Stim5_LargeDistance	Stim5_LargeDistance	c
188.5	2	FaceMatching	1380	1	Stim6_LargeDistance	Stim6_LargeDistance	c
203.984	2	ShapeMatching	1432	1	S8	S6	b
206.984	2	ShapeMatching	1304	1	S1	S1	c
210.484	2	ShapeMatching	2316	1	S4	S4	c
214.484	2	ShapeMatching	1196	1	S2	S9	b
217.484	2	ShapeMatching	996	1	S5	S3	b
220.984	2	ShapeMatching	960	1	S6	S6	c
233.484	2	ShapeMatching	0	0	S3	S1	b
236.984	2	ShapeMatching	968	0	S9	S7	b
240.984	2	ShapeMatching	672	1	S1	S8	b
243.984	2	ShapeMatching	1056	1	S7	S5	b
247.484	2	ShapeMatching	932	1	S6	S4	b
250.484	2	ShapeMatching	1268	1	S7	S7	c
265.984	2	FaceMatching	0	0	Stim5_LargeDistance	Stim5_Base	b
269.034	2	FaceMatching	1486	0	Stim8_Base	Stim8_SmallDistance	b
273.067	2	FaceMatching	1301	0	Stim6_Base	Stim6_SmallDistance	b
276.5	2	FaceMatching	1172	1	Stim4_LargeDistance	Stim4_LargeDistance	c
279.567	2	FaceMatching	1321	1	Stim9_Base	Stim9_SmallDistance	b
283.0	2	FaceMatching	1696	0	Stim1_LargeDistance	Stim1_LargeDistance	c
