onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.967	2	ShapeMatching	1012	1	S7	S7	c
12.484	2	ShapeMatching	855	1	S4	S2	b
16.784	2	ShapeMatching	867	1	S4	S4	c
19.484	2	ShapeMatching	823	1	S3	S1	b
23.484	2	ShapeMatching	727	1	S1	S1	c
26.984	2	ShapeMatching	731	1	S9	S7	b
38.467	2	NumberMatching	1512	1	D5_1	N7	b
41.984	2	NumberMatching	1195	1	D1_1	N3	b
45.984	2	NumberMatching	2891	0	D9_2	N9	c
48.967	2	NumberMatching	1140	1	D3_1	N7	b
52.984	2	NumberMatching	1947	0	N8	D6_2	b
55.984	2	NumberMatching	1955	1	D1_2	N1	c
70.967	2	NumberMatching	1276	1	N4	D2_2	b
73.984	2	NumberMatching	1395	1	D3_2	N3	c
77.484	2	NumberMatching	1143	1	D9_1	N5	b
81.484	2	NumberMatching	1295	1	N6	D9_2	b
84.484	2	NumberMatching	1559	1	N4	D4_1	c
87.984	2	NumberMatching	1123	1	N2	D2_1	c
100.467	2	FaceMatching	2384	0	Stim2_LargeDistance	Stim2_LargeDistance	c
103.467	2	FaceMatching	1472	1	Stim3_LargeDistance	Stim3_LargeDistance	c
107.484	2	FaceMatching	1255	1	Stim5_LargeDistance	Stim5_Base	b
110.984	2	FaceMatching	1371	0	Stim8_Base	Stim8_SmallDistance	b
115.001	2	FaceMatching	1714	1	Stim4_LargeDistance	Stim4_LargeDistance	c
117.984	2	FaceMatching	1067	1	Stim9_LargeDistance	Stim9_LargeDistance	c
135.967	2	ShapeMatching	1068	1	S5	S3	b
139.984	2	ShapeMatching	915	1	S3	S3	c
142.984	2	ShapeMatching	1419	1	S1	S8	b
146.484	2	ShapeMatching	1031	1	S6	S6	c
150.484	2	ShapeMatching	951	1	S2	S2	c
153.984	2	ShapeMatching	827	0	S9	S9	c
171.468	2	FaceMatching	1751	1	Stim8_LargeDistance	Stim8_LargeDistance	c
175.484	2	FaceMatching	1295	1	Stim6_LargeDistance	Stim6_LargeDistance	c
178.984	2	FaceMatching	1099	1	Stim6_Base	Stim6_SmallDistance	b
181.984	2	FaceMatching	1443	1	Stim3_LargeDistance	Stim3_Base	b
185.484	2	FaceMatching	1343	1	Stim9_Base	Stim9_SmallDistance	b
189.484	2	FaceMatching	1383	1	Stim2_LargeDistance	Stim2_Base	b
203.968	2	ShapeMatching	1579	1	S7	S5	b
207.484	2	ShapeMatching	1439	1	S8	S8	c
211.484	2	ShapeMatching	815	1	S5	S5	c
214.484	2	ShapeMatching	759	1	S2	S9	b
217.984	2	ShapeMatching	875	1	S6	S4	b
221.984	2	ShapeMatching	803	1	S8	S6	b
236.468	2	FaceMatching	2207	1	Stim1_LargeDistance	Stim1_LargeDistance	c
239.968	2	FaceMatching	1347	1	Stim4_LargeDistance	Stim4_Base	b
242.984	2	FaceMatching	1275	1	Stim1_LargeDistance	Stim1_Base	b
247.001	2	FaceMatching	1514	1	Stim7_LargeDistance	Stim7_LargeDistance	c
250.484	2	FaceMatching	1631	1	Stim5_LargeDistance	Stim5_LargeDistance	c
254.484	2	FaceMatching	1615	0	Stim7_Base	Stim7_SmallDistance	b
265.968	2	NumberMatching	1267	0	D7_2	N7	c
269.984	2	NumberMatching	2331	0	N8	D8_1	c
272.968	2	NumberMatching	2716	1	D5_2	N5	c
276.468	2	NumberMatching	1992	0	N6	D6_1	c
279.468	2	NumberMatching	1871	1	D7_1	N3	b
282.984	2	NumberMatching	955	1	N2	D6_2	b
