onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.967	2	ShapeMatching	1203	1	S6	S7	b
12.484	2	ShapeMatching	998	1	S5	S5	c
16.484	2	ShapeMatching	1398	1	S8	S8	c
19.484	2	ShapeMatching	1270	1	S3	S4	b
23.484	2	ShapeMatching	1014	1	S6	S6	c
26.984	2	ShapeMatching	2122	1	S7	S7	c
41.467	2	NumberMatching	1175	1	N1	D1_1	c
44.984	2	NumberMatching	0	0	N7	D7_1	c
47.984	2	NumberMatching	1122	1	D2_2	N2	c
51.984	2	NumberMatching	0	0	N9	D7_2	b
55.484	2	NumberMatching	1910	1	D8_2	N8	c
58.484	2	NumberMatching	1518	1	N5	D5_1	c
73.967	2	ShapeMatching	1515	1	S7	S8	b
76.984	2	ShapeMatching	1170	1	S9	S1	b
80.484	2	ShapeMatching	2030	1	S2	S3	b
84.467	2	ShapeMatching	1151	1	S5	S6	b
87.984	2	ShapeMatching	970	1	S4	S4	c
91.984	2	ShapeMatching	1290	1	S4	S5	b
103.467	2	FaceMatching	1287	1	Stim8_Base	Stim8_Base	c
107.0	2	FaceMatching	1402	1	Stim1_Base	Stim1_Base	c
109.984	2	FaceMatching	1154	0	Stim2_Base	Stim2_SmallDistance	b
113.984	2	FaceMatching	1546	1	Stim6_LargeDistance	Stim6_Base	b
117.484	2	FaceMatching	2246	1	Stim7_Base	Stim7_Base	c
120.467	2	FaceMatching	1295	1	Stim9_LargeDistance	Stim9_Base	b
132.967	2	FaceMatching	1371	1	Stim8_LargeDistance	Stim8_Base	b
136.484	2	FaceMatching	1638	0	Stim5_Base	Stim5_Base	c
140.484	2	FaceMatching	1254	1	Stim2_Base	Stim2_Base	c
143.484	2	FaceMatching	0	0	Stim5_Base	Stim5_SmallDistance	b
147.484	2	FaceMatching	1646	1	Stim3_Base	Stim3_SmallDistance	b
150.984	2	FaceMatching	2074	1	Stim6_Base	Stim6_Base	c
168.467	2	NumberMatching	1887	1	N1	D4_2	b
171.984	2	NumberMatching	0	0	N9	D9_1	c
175.984	2	NumberMatching	1506	1	D4_1	N8	b
178.984	2	NumberMatching	1322	0	D4_2	N4	c
182.484	2	NumberMatching	1894	1	D2_1	N5	b
185.484	2	NumberMatching	1294	1	D6_1	N3	b
203.967	2	NumberMatching	1667	1	N7	D4_2	b
207.484	2	NumberMatching	1222	1	N3	D5_2	b
210.484	2	NumberMatching	1374	1	D8_1	N5	b
214.484	2	NumberMatching	0	0	D6_2	N6	c
217.484	2	NumberMatching	1510	0	N3	D3_1	c
220.967	2	NumberMatching	1307	1	N5	D1_2	b
233.467	2	ShapeMatching	1407	1	S3	S3	c
236.984	2	ShapeMatching	1946	1	S8	S9	b
240.984	2	ShapeMatching	1146	1	S2	S2	c
243.984	2	ShapeMatching	0	0	S9	S9	c
247.484	2	ShapeMatching	1278	1	S1	S2	b
251.484	2	ShapeMatching	0	0	S1	S1	c
268.967	2	FaceMatching	1691	1	Stim4_Base	Stim4_SmallDistance	b
272.484	2	FaceMatching	1758	1	Stim4_Base	Stim4_Base	c
275.484	2	FaceMatching	1166	1	Stim9_Base	Stim9_Base	c
279.484	2	FaceMatching	1742	1	Stim1_Base	Stim1_SmallDistance	b
282.984	2	FaceMatching	1330	1	Stim7_LargeDistance	Stim7_Base	b
286.984	2	FaceMatching	1634	1	Stim3_Base	Stim3_Base	c
