onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.984	2	FaceMatching	1546	1	Stim2_LargeDistance	Stim2_LargeDistance	c
13.001	2	FaceMatching	2185	0	Stim8_Base	Stim8_SmallDistance	b
15.984	2	FaceMatching	1642	1	Stim6_LargeDistance	Stim6_LargeDistance	c
19.501	2	FaceMatching	1637	1	Stim1_LargeDistance	Stim1_Base	b
23.501	2	FaceMatching	1669	0	Stim6_Base	Stim6_SmallDistance	b
26.501	2	FaceMatching	1597	1	Stim5_LargeDistance	Stim5_LargeDistance	c
44.484	2	FaceMatching	2518	1	Stim7_Base	Stim7_SmallDistance	b
48.484	2	FaceMatching	1294	1	Stim1_LargeDistance	Stim1_LargeDistance	c
51.501	2	FaceMatching	1613	1	Stim8_LargeDistance	Stim8_LargeDistance	c
55.001	2	FaceMatching	1529	1	Stim3_LargeDistance	Stim3_Base	b
58.001	2	FaceMatching	2145	1	Stim5_LargeDistance	Stim5_Base	b
61.484	2	FaceMatching	1734	1	Stim2_LargeDistance	Stim2_Base	b
73.984	2	NumberMatching	2298	1	N2	D6_2	b
77.484	2	NumberMatching	1542	1	D7_1	N3	b
81.484	2	NumberMatching	1766	1	D5_1	N7	b
84.484	2	NumberMatching	1422	1	D9_1	N5	b
88.484	2	NumberMatching	1158	1	N2	D2_1	c
91.984	2	NumberMatching	1354	1	N4	D4_1	c
106.484	2	ShapeMatching	1366	1	S5	S5	c
110.484	2	ShapeMatching	1118	1	S8	S6	b
113.984	2	ShapeMatching	1290	1	S2	S9	b
116.984	2	ShapeMatching	1282	1	S4	S2	b
120.984	2	ShapeMatching	994	1	S3	S1	b
123.984	2	ShapeMatching	1746	1	S9	S7	b
135.984	2	ShapeMatching	2282	1	S7	S5	b
139.984	2	ShapeMatching	818	0	S1	S1	c
143.484	2	ShapeMatching	1422	1	S1	S8	b
146.484	2	ShapeMatching	1646	1	S7	S7	c
150.484	2	ShapeMatching	1526	1	S2	S2	c
153.484	2	ShapeMatching	1774	1	S3	S3	c
171.484	2	ShapeMatching	2014	1	S9	S9	c
175.484	2	ShapeMatching	982	1	S8	S8	c
178.984	2	ShapeMatching	1282	1	S5	S3	b
181.984	2	ShapeMatching	1018	1	S4	S4	c
185.984	2	ShapeMatching	1594	1	S6	S4	b
188.984	2	ShapeMatching	874	1	S6	S6	c
203.984	2	NumberMatching	1946	1	D9_2	N9	c
206.984	2	NumberMatching	1282	1	D1_2	N1	c
210.484	2	NumberMatching	1814	1	N4	D2_2	b
214.484	2	NumberMatching	0	0	D5_2	N5	c
217.484	2	NumberMatching	550	0	N8	D6_2	b
221.484	2	NumberMatching	1422	1	D3_2	N3	c
239.484	2	FaceMatching	1974	1	Stim7_LargeDistance	Stim7_LargeDistance	c
243.501	2	FaceMatching	1677	1	Stim9_LargeDistance	Stim9_LargeDistance	c
247.001	2	FaceMatching	1801	1	Stim3_LargeDistance	Stim3_LargeDistance	c
250.001	2	FaceMatching	1521	1	Stim4_LargeDistance	Stim4_LargeDistance	c
253.501	2	FaceMatching	1717	1	Stim4_LargeDistance	Stim4_Base	b
257.501	2	FaceMatching	2109	1	Stim9_Base	Stim9_SmallDistance	b
271.984	2	NumberMatching	1682	1	D1_1	N3	b
275.484	2	NumberMatching	1814	1	D7_2	N7	c
278.484	2	NumberMatching	3094	1	N6	D6_1	c
282.484	2	NumberMatching	2166	0	N8	D8_1	c
285.984	2	NumberMatching	1594	1	D3_1	N7	b
289.984	2	NumberMatching	1730	1	N6	D9_2	b
