onset	duration	trial_type	response_time	correct
13.217	1.5	STM5	1696	0
22.434	1.5	STM5	1583	0
32.651	1.5	STM5	1102	0
42.367	1.5	STM5	1642	1
51.584	1.5	STM5	1161	0
61.301	1.5	STM5	1276	0
80.534	1.5	CON5	0	0
90.251	1.5	CON5	526	1
99.467	1.5	CON5	758	1
109.684	1.5	CON5	397	1
119.401	1.5	CON5	0	0
128.617	1.5	CON5	415	1
145.784	1.5	CON3	857	1
153.434	1.5	CON3	903	1
160.584	1.5	CON3	2705	1
168.734	1.5	CON3	2675	1
176.384	1.5	CON3	1096	1
184.534	1.5	CON3	955	1
200.701	1.5	STM3	1427	0
208.351	1.5	STM3	793	0
215.501	1.5	STM3	1443	1
223.651	1.5	STM3	1261	1
230.801	1.5	STM3	1463	1
238.951	1.5	STM3	1489	0
