onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.984	2	ShapeMatching	1468	1	S5	S3	b
12.484	2	ShapeMatching	1368	1	S6	S6	c
15.484	2	ShapeMatching	1592	1	S3	S3	c
19.484	2	ShapeMatching	1232	1	S8	S6	b
22.484	2	ShapeMatching	1208	1	S6	S4	b
26.484	2	ShapeMatching	1440	1	S1	S8	b
41.484	2	NumberMatching	1976	1	N4	D2_2	b
45.484	2	NumberMatching	1328	1	D3_2	N3	c
48.984	2	NumberMatching	1620	1	N4	D4_1	c
51.984	2	NumberMatching	2572	1	D5_2	N5	c
55.984	2	NumberMatching	1500	1	D1_2	N1	c
58.984	2	NumberMatching	1404	1	D1_1	N3	b
70.984	2	NumberMatching	1372	1	D9_2	N9	c
74.984	2	NumberMatching	2668	1	D7_2	N7	c
77.984	2	NumberMatching	1604	1	D3_1	N7	b
81.484	2	NumberMatching	1208	0	N8	D6_2	b
85.484	2	NumberMatching	1896	1	N6	D9_2	b
88.984	2	NumberMatching	2348	1	N2	D6_2	b
103.484	2	ShapeMatching	1656	0	S4	S4	c
106.984	2	ShapeMatching	196	1	S1	S1	c
109.984	2	ShapeMatching	1252	1	S5	S5	c
113.984	2	ShapeMatching	1388	1	S3	S1	b
117.484	2	ShapeMatching	1520	1	S7	S7	c
121.484	2	ShapeMatching	1144	0	S2	S9	b
138.984	2	FaceMatching	1620	0	Stim6_Base	Stim6_SmallDistance	b
143.0	2	FaceMatching	1828	1	Stim3_LargeDistance	Stim3_Base	b
146.0	2	FaceMatching	2596	1	Stim1_LargeDistance	Stim1_Base	b
149.484	2	FaceMatching	2664	1	Stim2_LargeDistance	Stim2_LargeDistance	c
153.484	2	FaceMatching	1992	1	Stim3_LargeDistance	Stim3_LargeDistance	c
157.0	2	FaceMatching	1460	0	Stim7_Base	Stim7_SmallDistance	b
171.484	2	ShapeMatching	2368	1	S2	S2	c
175.484	2	ShapeMatching	1264	1	S8	S8	c
178.984	2	ShapeMatching	1068	1	S9	S9	c
181.984	2	ShapeMatching	1420	1	S7	S5	b
185.484	2	ShapeMatching	1472	0	S9	S7	b
188.484	2	ShapeMatching	120	1	S4	S2	b
200.984	2	NumberMatching	0	0	D9_1	N5	b
204.484	2	NumberMatching	1552	1	N2	D2_1	c
208.484	2	NumberMatching	2240	1	N8	D8_1	c
211.483	2	NumberMatching	0	0	D5_1	N7	b
214.984	2	NumberMatching	1500	1	D7_1	N3	b
217.984	2	NumberMatching	1788	1	N6	D6_1	c
236.484	2	FaceMatching	2527	1	Stim8_Base	Stim8_SmallDistance	b
239.484	2	FaceMatching	1263	1	Stim6_LargeDistance	Stim6_LargeDistance	c
243.5	2	FaceMatching	303	1	Stim2_LargeDistance	Stim2_Base	b
246.984	2	FaceMatching	0	0	Stim5_LargeDistance	Stim5_Base	b
251.0	2	FaceMatching	2259	1	Stim5_LargeDistance	Stim5_LargeDistance	c
254.484	2	FaceMatching	0	0	Stim8_LargeDistance	Stim8_LargeDistance	c
265.984	2	FaceMatching	1451	1	Stim7_LargeDistance	Stim7_LargeDistance	c
269.5	2	FaceMatching	1976	1	Stim9_LargeDistance	Stim9_LargeDistance	c
272.5	2	FaceMatching	2119	1	Stim1_LargeDistance	Stim1_LargeDistance	c
276.484	2	FaceMatching	0	0	Stim4_LargeDistance	Stim4_Base	b
279.5	2	FaceMatching	495	0	Stim4_LargeDistance	Stim4_LargeDistance	c
282.983	2	FaceMatching	2388	1	Stim9_Base	Stim9_SmallDistance	b
