onset	duration	trial_type	response_time	correct
13.216	1.5	STM5	1160	0
23.433	1.5	STM5	911	1
33.15	1.5	STM5	898	1
42.366	1.5	STM5	866	0
52.083	1.5	STM5	1109	1
61.3	1.5	STM5	1188	0
78.466	1.5	CON3	998	1
85.616	1.5	CON3	1040	1
93.767	1.5	CON3	921	1
101.416	1.5	CON3	1072	1
109.567	1.5	CON3	0	0
116.717	1.5	CON3	771	1
133.383	1.5	STM3	833	0
141.533	1.5	STM3	883	1
148.683	1.5	STM3	597	1
156.333	1.5	STM3	1435	0
164.483	1.5	STM3	621	1
171.633	1.5	STM3	655	0
190.367	1.5	CON5	769	1
199.583	1.5	CON5	977	1
209.3	1.5	CON5	956	1
219.517	1.5	CON5	899	1
228.733	1.5	CON5	947	1
238.95	1.5	CON5	1114	1
