onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.983	2	ShapeMatching	1585	1	S7	S5	b
12.0	2	ShapeMatching	1136	1	S2	S2	c
16.3	2	ShapeMatching	1004	1	S9	S9	c
19.483	2	ShapeMatching	1069	1	S3	S3	c
22.5	2	ShapeMatching	1028	1	S1	S1	c
26.483	2	ShapeMatching	877	1	S4	S2	b
44.483	2	NumberMatching	1413	1	D5_1	N7	b
48.483	2	NumberMatching	1029	1	D9_1	N5	b
52.0	2	NumberMatching	1144	1	D3_2	N3	c
54.983	2	NumberMatching	1409	1	D7_1	N3	b
59.0	2	NumberMatching	1888	1	D5_2	N5	c
62.0	2	NumberMatching	1432	0	N6	D6_1	c
79.983	2	NumberMatching	1377	1	N4	D2_2	b
84.0	2	NumberMatching	1568	1	N6	D9_2	b
87.483	2	NumberMatching	1397	1	N2	D6_2	b
90.5	2	NumberMatching	1124	1	D9_2	N9	c
93.983	2	NumberMatching	2145	1	D7_2	N7	c
97.983	2	NumberMatching	1233	1	D1_1	N3	b
109.483	2	ShapeMatching	1469	1	S5	S3	b
113.483	2	ShapeMatching	1109	1	S8	S6	b
116.983	2	ShapeMatching	1033	1	S7	S7	c
120.0	2	ShapeMatching	985	1	S8	S8	c
123.983	2	ShapeMatching	929	1	S6	S6	c
126.983	2	ShapeMatching	713	1	S2	S9	b
141.983	2	FaceMatching	1169	1	Stim7_Base	Stim7_SmallDistance	b
145.0	2	FaceMatching	1688	1	Stim2_LargeDistance	Stim2_LargeDistance	c
148.5	2	FaceMatching	1484	1	Stim4_LargeDistance	Stim4_Base	b
152.5	2	FaceMatching	1172	1	Stim3_LargeDistance	Stim3_Base	b
155.5	2	FaceMatching	1604	1	Stim1_LargeDistance	Stim1_LargeDistance	c
159.5	2	FaceMatching	1516	1	Stim2_LargeDistance	Stim2_Base	b
177.483	2	NumberMatching	1613	0	N8	D6_2	b
180.483	2	NumberMatching	1285	1	D3_1	N7	b
184.483	2	NumberMatching	1373	1	N8	D8_1	c
188.0	2	NumberMatching	1200	1	N4	D4_1	c
191.983	2	NumberMatching	1033	1	N2	D2_1	c
194.983	2	NumberMatching	1050	1	D1_2	N1	c
209.983	2	ShapeMatching	1225	1	S6	S4	b
213.983	2	ShapeMatching	929	1	S1	S8	b
217.483	2	ShapeMatching	1101	1	S5	S5	c
220.483	2	ShapeMatching	1045	1	S3	S1	b
224.483	2	ShapeMatching	973	1	S9	S7	b
228.0	2	ShapeMatching	880	1	S4	S4	c
239.483	2	FaceMatching	1981	0	Stim5_LargeDistance	Stim5_Base	b
243.5	2	FaceMatching	1252	1	Stim7_LargeDistance	Stim7_LargeDistance	c
246.5	2	FaceMatching	1388	1	Stim8_LargeDistance	Stim8_LargeDistance	c
250.0	2	FaceMatching	1728	1	Stim6_LargeDistance	Stim6_LargeDistance	c
253.0	2	FaceMatching	1488	1	Stim3_LargeDistance	Stim3_LargeDistance	c
256.5	2	FaceMatching	1532	1	Stim9_LargeDistance	Stim9_LargeDistance	c
268.983	2	FaceMatching	1905	1	Stim8_Base	Stim8_SmallDistance	b
272.5	2	FaceMatching	1460	1	Stim9_Base	Stim9_SmallDistance	b
275.5	2	FaceMatching	1532	1	Stim4_LargeDistance	Stim4_LargeDistance	c
279.5	2	FaceMatching	2764	1	Stim5_LargeDistance	Stim5_LargeDistance	c
282.983	2	FaceMatching	2009	1	Stim1_LargeDistance	Stim1_Base	b
285.983	2	FaceMatching	1561	1	Stim6_Base	Stim6_SmallDistance	b
