onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.967	2	ShapeMatching	1247	1	S2	S9	b
12.484	2	ShapeMatching	954	1	S4	S2	b
15.484	2	ShapeMatching	1074	1	S4	S4	c
19.484	2	ShapeMatching	1738	1	S6	S4	b
22.984	2	ShapeMatching	990	1	S9	S7	b
26.984	2	ShapeMatching	1374	1	S5	S5	c
44.467	2	FaceMatching	1915	1	Stim3_LargeDistance	Stim3_LargeDistance	c
48.501	2	FaceMatching	1721	1	Stim1_LargeDistance	Stim1_Base	b
51.501	2	FaceMatching	1921	1	Stim8_LargeDistance	Stim8_LargeDistance	c
55.001	2	FaceMatching	0	0	Stim5_LargeDistance	Stim5_Base	b
59.001	2	FaceMatching	1461	1	Stim7_LargeDistance	Stim7_LargeDistance	c
62.501	2	FaceMatching	1489	1	Stim3_LargeDistance	Stim3_Base	b
79.967	2	NumberMatching	1903	1	D9_1	N5	b
83.984	2	NumberMatching	2886	1	N4	D4_1	c
87.467	2	NumberMatching	1187	1	D1_2	N1	c
90.484	2	NumberMatching	1434	1	D3_1	N7	b
93.984	2	NumberMatching	1638	1	N4	D2_2	b
97.984	2	NumberMatching	0	0	D5_1	N7	b
115.467	2	ShapeMatching	1267	1	S7	S7	c
119.484	2	ShapeMatching	2506	1	S2	S2	c
122.467	2	ShapeMatching	907	1	S8	S8	c
125.984	2	ShapeMatching	1446	1	S7	S5	b
129.984	2	ShapeMatching	1638	1	S8	S6	b
132.984	2	ShapeMatching	870	1	S9	S9	c
144.967	2	NumberMatching	1695	1	D3_2	N3	c
147.984	2	NumberMatching	1486	1	N6	D6_1	c
151.984	2	NumberMatching	2638	1	D7_2	N7	c
155.467	2	NumberMatching	987	1	D9_2	N9	c
159.484	2	NumberMatching	1458	1	N8	D6_2	b
162.984	2	NumberMatching	1630	1	N2	D6_2	b
174.467	2	ShapeMatching	1107	1	S1	S1	c
178.484	2	ShapeMatching	1426	1	S5	S3	b
181.484	2	ShapeMatching	2130	1	S6	S6	c
184.967	2	ShapeMatching	1079	1	S3	S1	b
187.984	2	ShapeMatching	1118	1	S1	S8	b
191.484	2	ShapeMatching	778	1	S3	S3	c
206.967	2	FaceMatching	1247	1	Stim5_LargeDistance	Stim5_LargeDistance	c
210.001	2	FaceMatching	2789	1	Stim6_Base	Stim6_SmallDistance	b
213.967	2	FaceMatching	1271	1	Stim6_LargeDistance	Stim6_LargeDistance	c
217.501	2	FaceMatching	1401	1	Stim2_LargeDistance	Stim2_Base	b
221.501	2	FaceMatching	2233	1	Stim9_LargeDistance	Stim9_LargeDistance	c
224.968	2	FaceMatching	806	0	Stim8_Base	Stim8_SmallDistance	b
239.468	2	NumberMatching	2074	1	N6	D9_2	b
243.468	2	NumberMatching	1826	1	D7_1	N3	b
246.984	2	NumberMatching	0	0	N8	D8_1	c
249.984	2	NumberMatching	142	1	D5_2	N5	c
253.484	2	NumberMatching	2154	0	D1_1	N3	b
256.468	2	NumberMatching	2154	1	N2	D2_1	c
271.968	2	FaceMatching	1854	1	Stim9_Base	Stim9_SmallDistance	b
275.501	2	FaceMatching	1313	1	Stim4_LargeDistance	Stim4_LargeDistance	c
278.501	2	FaceMatching	1441	1	Stim2_LargeDistance	Stim2_LargeDistance	c
282.501	2	FaceMatching	1705	1	Stim7_Base	Stim7_SmallDistance	b
286.001	2	FaceMatching	1565	0	Stim4_LargeDistance	Stim4_Base	b
290.001	2	FaceMatching	1485	1	Stim1_LargeDistance	Stim1_LargeDistance	c
