onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.984	2	FaceMatching	1948	1	Stim3_Base	Stim3_Base	c
12.0	2	FaceMatching	2012	1	Stim7_Base	Stim7_Base	c
15.984	2	FaceMatching	0	0	Stim3_Base	Stim3_SmallDistance	b
19.5	2	FaceMatching	1504	1	Stim5_Base	Stim5_Base	c
22.5	2	FaceMatching	1456	1	Stim6_Base	Stim6_Base	c
26.0	2	FaceMatching	1644	1	Stim9_Base	Stim9_Base	c
41.484	2	FaceMatching	1864	1	Stim6_LargeDistance	Stim6_Base	b
45.0	2	FaceMatching	1724	1	Stim2_Base	Stim2_Base	c
49.0	2	FaceMatching	2044	0	Stim1_Base	Stim1_SmallDistance	b
51.984	2	FaceMatching	1260	1	Stim8_LargeDistance	Stim8_Base	b
55.5	2	FaceMatching	1328	1	Stim7_LargeDistance	Stim7_Base	b
58.5	2	FaceMatching	1512	1	Stim4_Base	Stim4_SmallDistance	b
76.984	2	NumberMatching	0	0	D8_2	N8	c
80.484	2	NumberMatching	1416	1	D4_1	N8	b
84.484	2	NumberMatching	1336	1	N3	D3_1	c
87.484	2	NumberMatching	0	0	D6_2	N6	c
91.484	2	NumberMatching	1216	1	N3	D5_2	b
94.984	2	NumberMatching	1036	1	N1	D4_2	b
109.484	2	NumberMatching	1912	1	D8_1	N5	b
113.484	2	NumberMatching	1776	1	N7	D7_1	c
116.484	2	NumberMatching	1240	1	N5	D1_2	b
119.984	2	NumberMatching	1396	1	D6_1	N3	b
122.984	2	NumberMatching	1228	1	D2_1	N5	b
126.484	2	NumberMatching	1552	1	D4_2	N4	c
144.984	2	FaceMatching	1788	1	Stim8_Base	Stim8_Base	c
148.5	2	FaceMatching	1680	1	Stim1_Base	Stim1_Base	c
152.5	2	FaceMatching	1872	0	Stim5_Base	Stim5_SmallDistance	b
155.5	2	FaceMatching	1592	1	Stim4_Base	Stim4_Base	c
159.0	2	FaceMatching	1252	0	Stim2_Base	Stim2_SmallDistance	b
162.0	2	FaceMatching	1723	1	Stim9_LargeDistance	Stim9_Base	b
174.484	2	ShapeMatching	2392	1	S7	S7	c
177.984	2	ShapeMatching	1036	1	S4	S4	c
181.984	2	ShapeMatching	1252	1	S1	S2	b
184.984	2	ShapeMatching	1132	0	S6	S7	b
188.984	2	ShapeMatching	1083	1	S8	S9	b
192.484	2	ShapeMatching	1296	1	S6	S6	c
203.984	2	NumberMatching	2211	1	N9	D9_1	c
207.984	2	NumberMatching	1059	0	N9	D7_2	b
211.484	2	NumberMatching	1695	1	N7	D4_2	b
214.484	2	NumberMatching	1047	0	N1	D1_1	c
218.484	2	NumberMatching	1463	1	N5	D5_1	c
221.484	2	NumberMatching	1583	1	D2_2	N2	c
233.484	2	ShapeMatching	1319	1	S7	S8	b
237.484	2	ShapeMatching	847	1	S5	S6	b
240.984	2	ShapeMatching	1171	1	S9	S1	b
243.984	2	ShapeMatching	883	0	S9	S9	c
247.984	2	ShapeMatching	1227	1	S3	S3	c
251.484	2	ShapeMatching	1087	1	S4	S5	b
268.984	2	ShapeMatching	1859	1	S2	S3	b
272.984	2	ShapeMatching	1939	1	S3	S4	b
276.484	2	ShapeMatching	1183	1	S5	S5	c
279.484	2	ShapeMatching	1271	1	S2	S2	c
283.484	2	ShapeMatching	1263	1	S8	S8	c
286.484	2	ShapeMatching	967	1	S1	S1	c
