onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.983	2	ShapeMatching	1319	1	S8	S8	c
12.483	2	ShapeMatching	1515	1	S7	S7	c
16.483	2	ShapeMatching	1107	1	S5	S6	b
19.483	2	ShapeMatching	1531	1	S4	S5	b
23.483	2	ShapeMatching	1219	1	S9	S1	b
26.483	2	ShapeMatching	1195	1	S4	S4	c
41.483	2	FaceMatching	2947	1	Stim8_Base	Stim8_Base	c
44.483	2	FaceMatching	2155	1	Stim3_Base	Stim3_Base	c
48.483	2	FaceMatching	1539	1	Stim1_Base	Stim1_Base	c
52.0	2	FaceMatching	1350	1	Stim9_LargeDistance	Stim9_Base	b
55.0	2	FaceMatching	1406	1	Stim5_Base	Stim5_SmallDistance	b
58.5	2	FaceMatching	3218	1	Stim3_Base	Stim3_SmallDistance	b
73.983	2	ShapeMatching	2191	1	S2	S2	c
77.483	2	ShapeMatching	2027	1	S6	S7	b
81.483	2	ShapeMatching	2083	0	S7	S8	b
84.483	2	ShapeMatching	1971	1	S9	S9	c
88.483	2	ShapeMatching	1459	1	S1	S1	c
91.483	2	ShapeMatching	1179	1	S3	S3	c
103.483	2	NumberMatching	0	0	D8_1	N5	b
107.483	2	NumberMatching	2763	1	N7	D4_2	b
110.983	2	NumberMatching	2247	0	N9	D7_2	b
113.983	2	NumberMatching	1807	1	N5	D5_1	c
117.483	2	NumberMatching	1851	1	N1	D4_2	b
121.483	2	NumberMatching	0	0	D4_1	N8	b
135.983	2	FaceMatching	2559	1	Stim9_Base	Stim9_Base	c
139.483	2	FaceMatching	1811	1	Stim8_LargeDistance	Stim8_Base	b
142.5	2	FaceMatching	2866	1	Stim4_Base	Stim4_Base	c
146.483	2	FaceMatching	0	0	Stim5_Base	Stim5_Base	c
149.5	2	FaceMatching	0	0	Stim7_Base	Stim7_Base	c
153.0	2	FaceMatching	0	0	Stim2_Base	Stim2_Base	c
171.483	2	NumberMatching	3251	1	N7	D7_1	c
174.983	2	NumberMatching	1615	1	N1	D1_1	c
179.0	2	NumberMatching	1318	1	D2_1	N5	b
181.983	2	NumberMatching	0	0	D6_1	N3	b
185.483	2	NumberMatching	2891	1	D2_2	N2	c
189.483	2	NumberMatching	2539	1	D6_2	N6	c
206.983	2	NumberMatching	0	0	N9	D9_1	c
210.983	2	NumberMatching	0	0	N3	D5_2	b
213.983	2	NumberMatching	0	0	N5	D1_2	b
217.517	2	NumberMatching	2457	1	N3	D3_1	c
221.483	2	NumberMatching	2883	0	D8_2	N8	c
224.983	2	NumberMatching	1367	1	D4_2	N4	c
236.483	2	FaceMatching	2243	1	Stim6_Base	Stim6_Base	c
240.483	2	FaceMatching	2339	1	Stim7_LargeDistance	Stim7_Base	b
243.483	2	FaceMatching	0	0	Stim6_LargeDistance	Stim6_Base	b
247.0	2	FaceMatching	0	0	Stim4_Base	Stim4_SmallDistance	b
250.0	2	FaceMatching	2214	1	Stim2_Base	Stim2_SmallDistance	b
253.983	2	FaceMatching	3023	0	Stim1_Base	Stim1_SmallDistance	b
265.983	2	ShapeMatching	0	0	S2	S3	b
268.983	2	ShapeMatching	0	0	S5	S5	c
272.483	2	ShapeMatching	2915	1	S3	S4	b
276.483	2	ShapeMatching	1251	1	S6	S6	c
279.483	2	ShapeMatching	2163	1	S1	S2	b
283.483	2	ShapeMatching	1419	1	S8	S9	b
