onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.484	4.5	Plus1	1680	1	9	1	10
12.984	4.5	Plus1	1948	1	8	1	11
18.484	4.5	Plus1	2344	1	7	1	8
24.484	4.5	Plus1	2384	1	6	1	8
29.984	4.5	Plus1	2916	1	5	1	7
36.484	4.5	Plus1	1520	1	3	1	4
54.484	4.5	LargeProblem	4976	1	5	9	14
59.983	4.5	LargeProblem	3981	1	4	9	13
65.984	4.5	LargeProblem	4148	1	4	7	12
72.484	4.5	LargeProblem	0	0	5	7	14
77.984	4.5	LargeProblem	5964	1	7	6	13
84.484	4.5	LargeProblem	3552	1	3	8	11
96.484	4.5	SmallProblem	1760	1	5	4	9
101.984	4.5	SmallProblem	3332	1	7	2	10
107.984	4.5	SmallProblem	4956	1	4	6	11
114.484	4.5	SmallProblem	1768	1	5	2	7
119.984	4.5	SmallProblem	2052	1	3	5	10
125.984	4.5	SmallProblem	2444	1	2	4	6
138.484	4.5	SmallProblem	4328	1	3	7	10
143.984	4.5	SmallProblem	2020	1	2	8	10
149.984	4.5	SmallProblem	3100	1	3	2	7
156.483	4.5	SmallProblem	3177	1	6	3	11
161.984	4.5	SmallProblem	2820	1	4	3	7
167.983	4.5	SmallProblem	3453	1	2	6	9
186.484	4.5	LargeProblem	4800	1	6	8	15
192.484	4.5	LargeProblem	3792	1	8	4	13
198.983	4.5	LargeProblem	3509	1	9	3	12
204.484	4.5	LargeProblem	3312	1	6	5	11
210.983	4.5	LargeProblem	3997	1	8	5	15
216.484	4.5	LargeProblem	2912	1	9	2	13
234.484	4.5	Plus1	1920	1	4	1	7
239.984	4.5	Plus1	1716	1	2	1	4
246.484	4.5	Plus1	1416	1	2	1	3
252.484	4.5	Plus1	1488	1	6	1	7
257.984	4.5	Plus1	1524	1	5	1	6
263.984	4.5	Plus1	3340	1	9	1	12
