onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.967	2	FaceMatching	1687	1	Stim6_Base	Stim6_SmallDistance	b
13.0	2	FaceMatching	1478	1	Stim8_Base	Stim8_SmallDistance	b
17.833	2	FaceMatching	0	0	Stim2_LargeDistance	Stim2_Base	b
19.5	2	FaceMatching	2370	1	Stim4_LargeDistance	Stim4_LargeDistance	c
23.467	2	FaceMatching	1419	1	Stim9_Base	Stim9_SmallDistance	b
27.0	2	FaceMatching	1214	1	Stim7_LargeDistance	Stim7_LargeDistance	c
44.467	2	FaceMatching	1691	1	Stim8_LargeDistance	Stim8_LargeDistance	c
48.0	2	FaceMatching	1190	0	Stim7_Base	Stim7_SmallDistance	b
51.0	2	FaceMatching	1310	1	Stim9_LargeDistance	Stim9_LargeDistance	c
55.0	2	FaceMatching	1718	1	Stim6_LargeDistance	Stim6_LargeDistance	c
58.5	2	FaceMatching	1450	1	Stim2_LargeDistance	Stim2_LargeDistance	c
62.5	2	FaceMatching	1674	1	Stim3_LargeDistance	Stim3_Base	b
73.967	2	ShapeMatching	1231	1	S7	S5	b
77.983	2	ShapeMatching	1039	1	S1	S1	c
80.983	2	ShapeMatching	1087	1	S8	S6	b
84.483	2	ShapeMatching	1283	1	S5	S5	c
88.483	2	ShapeMatching	1131	1	S9	S9	c
91.983	2	ShapeMatching	1119	1	S4	S2	b
109.467	2	ShapeMatching	1211	1	S2	S2	c
113.483	2	ShapeMatching	1107	1	S3	S1	b
116.983	2	ShapeMatching	1095	1	S3	S3	c
119.983	2	ShapeMatching	1039	1	S1	S8	b
123.483	2	ShapeMatching	1195	1	S8	S8	c
126.483	2	ShapeMatching	1043	1	S6	S4	b
141.967	2	NumberMatching	1343	1	N2	D2_1	c
144.983	2	NumberMatching	1271	1	D9_1	N5	b
148.983	2	NumberMatching	1351	1	D7_1	N3	b
152.483	2	NumberMatching	1291	1	N4	D4_1	c
155.483	2	NumberMatching	1459	0	N8	D8_1	c
158.983	2	NumberMatching	1463	0	N6	D9_2	b
174.467	2	FaceMatching	1443	1	Stim5_LargeDistance	Stim5_LargeDistance	c
177.5	2	FaceMatching	994	1	Stim5_LargeDistance	Stim5_Base	b
181.0	2	FaceMatching	1622	1	Stim1_LargeDistance	Stim1_LargeDistance	c
185.0	2	FaceMatching	2166	1	Stim4_LargeDistance	Stim4_Base	b
187.967	2	FaceMatching	1087	1	Stim3_LargeDistance	Stim3_LargeDistance	c
192.0	2	FaceMatching	1462	1	Stim1_LargeDistance	Stim1_Base	b
206.967	2	NumberMatching	0	0	D9_2	N9	c
209.983	2	NumberMatching	2783	1	N8	D6_2	b
213.967	2	NumberMatching	967	1	D1_2	N1	c
217.483	2	NumberMatching	1291	1	D3_1	N7	b
221.483	2	NumberMatching	1507	1	N2	D6_2	b
224.983	2	NumberMatching	1751	1	N6	D6_1	c
242.467	2	ShapeMatching	1539	1	S2	S9	b
246.483	2	ShapeMatching	995	1	S7	S7	c
249.483	2	ShapeMatching	979	1	S6	S6	c
252.983	2	ShapeMatching	1030	1	S5	S3	b
255.983	2	ShapeMatching	1055	1	S4	S4	c
259.483	2	ShapeMatching	1187	1	S9	S7	b
271.967	2	NumberMatching	1246	1	N4	D2_2	b
274.983	2	NumberMatching	1278	1	D1_1	N3	b
278.483	2	NumberMatching	1586	1	D5_2	N5	c
282.483	2	NumberMatching	1674	0	D3_2	N3	c
285.983	2	NumberMatching	3254	1	D7_2	N7	c
289.967	2	NumberMatching	1382	1	D5_1	N7	b
