onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.984	2	FaceMatching	1752	1	Stim8_Base	Stim8_SmallDistance	b
11.984	2	FaceMatching	2416	1	Stim4_LargeDistance	Stim4_Base	b
15.984	2	FaceMatching	1384	1	Stim2_LargeDistance	Stim2_LargeDistance	c
19.567	2	FaceMatching	1985	1	Stim1_LargeDistance	Stim1_Base	b
23.484	2	FaceMatching	1548	1	Stim6_Base	Stim6_SmallDistance	b
26.617	2	FaceMatching	1807	1	Stim7_Base	Stim7_SmallDistance	b
38.484	2	FaceMatching	1468	1	Stim9_Base	Stim9_SmallDistance	b
42.5	2	FaceMatching	1852	1	Stim7_LargeDistance	Stim7_LargeDistance	c
45.567	2	FaceMatching	2633	1	Stim3_LargeDistance	Stim3_LargeDistance	c
48.984	2	FaceMatching	1936	1	Stim4_LargeDistance	Stim4_LargeDistance	c
53.0	2	FaceMatching	1336	1	Stim2_LargeDistance	Stim2_Base	b
56.5	2	FaceMatching	1692	1	Stim9_LargeDistance	Stim9_LargeDistance	c
73.984	2	NumberMatching	2232	1	D7_2	N7	c
77.484	2	NumberMatching	1404	1	D3_2	N3	c
81.484	2	NumberMatching	1476	1	N4	D4_1	c
84.484	2	NumberMatching	1260	1	D9_1	N5	b
87.984	2	NumberMatching	2296	1	D5_1	N7	b
91.984	2	NumberMatching	1944	1	D7_1	N3	b
109.484	2	ShapeMatching	2044	1	S8	S6	b
113.484	2	ShapeMatching	2220	1	S8	S8	c
116.984	2	ShapeMatching	1104	1	S3	S3	c
119.984	2	ShapeMatching	1392	1	S6	S6	c
123.484	2	ShapeMatching	1028	1	S9	S7	b
126.484	2	ShapeMatching	1636	1	S7	S5	b
138.984	2	FaceMatching	2320	1	Stim5_LargeDistance	Stim5_Base	b
142.484	2	FaceMatching	1476	1	Stim5_LargeDistance	Stim5_LargeDistance	c
145.501	2	FaceMatching	1595	1	Stim3_LargeDistance	Stim3_Base	b
149.501	2	FaceMatching	1907	1	Stim1_LargeDistance	Stim1_LargeDistance	c
153.001	2	FaceMatching	2127	1	Stim6_LargeDistance	Stim6_LargeDistance	c
155.984	2	FaceMatching	1576	1	Stim8_LargeDistance	Stim8_LargeDistance	c
171.484	2	NumberMatching	1596	1	N2	D2_1	c
174.984	2	NumberMatching	1352	1	N2	D6_2	b
177.984	2	NumberMatching	2072	1	D1_2	N1	c
181.984	2	NumberMatching	1280	1	D1_1	N3	b
184.984	2	NumberMatching	2056	1	N4	D2_2	b
188.984	2	NumberMatching	1664	1	D9_2	N9	c
203.984	2	ShapeMatching	1712	1	S1	S1	c
206.984	2	ShapeMatching	992	1	S5	S3	b
210.484	2	ShapeMatching	1228	1	S7	S7	c
214.484	2	ShapeMatching	1012	1	S2	S9	b
217.484	2	ShapeMatching	1396	1	S9	S9	c
220.984	2	ShapeMatching	1336	0	S5	S5	c
236.484	2	ShapeMatching	1524	1	S4	S4	c
239.484	2	ShapeMatching	0	0	S3	S1	b
242.984	2	ShapeMatching	1192	1	S4	S2	b
246.984	2	ShapeMatching	2096	1	S1	S8	b
249.984	2	ShapeMatching	0	0	S2	S2	c
253.484	2	ShapeMatching	117	0	S6	S4	b
271.984	2	NumberMatching	0	0	N8	D8_1	c
274.984	2	NumberMatching	1169	1	D5_2	N5	c
278.484	2	NumberMatching	1197	1	D3_1	N7	b
282.484	2	NumberMatching	2277	1	N6	D9_2	b
285.484	2	NumberMatching	1844	1	N6	D6_1	c
289.484	2	NumberMatching	1653	1	N8	D6_2	b
