onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.983	2	FaceMatching	1366	1	Stim5_Base	Stim5_Base	c
12.0	2	FaceMatching	1069	1	Stim2_Base	Stim2_Base	c
15.816	2	FaceMatching	1093	1	Stim8_LargeDistance	Stim8_Base	b
19.5	2	FaceMatching	1409	0	Stim9_LargeDistance	Stim9_Base	b
23.0	2	FaceMatching	1901	1	Stim4_Base	Stim4_SmallDistance	b
26.0	2	FaceMatching	1341	0	Stim2_Base	Stim2_SmallDistance	b
38.483	2	NumberMatching	2394	1	N5	D1_2	b
41.483	2	NumberMatching	986	1	N9	D7_2	b
45.483	2	NumberMatching	1082	1	D2_1	N5	b
48.983	2	NumberMatching	1110	1	N7	D4_2	b
51.983	2	NumberMatching	1302	1	D8_2	N8	c
55.983	2	NumberMatching	1110	0	D4_1	N8	b
67.983	2	ShapeMatching	1502	1	S1	S1	c
71.983	2	ShapeMatching	886	1	S6	S6	c
75.483	2	ShapeMatching	770	1	S5	S5	c
78.483	2	ShapeMatching	1306	1	S8	S8	c
82.483	2	ShapeMatching	1298	0	S2	S2	c
85.483	2	ShapeMatching	906	0	S6	S7	b
103.483	2	ShapeMatching	1354	1	S3	S4	b
106.483	2	ShapeMatching	1338	1	S2	S3	b
109.983	2	ShapeMatching	870	1	S4	S4	c
113.983	2	ShapeMatching	1830	1	S7	S8	b
116.983	2	ShapeMatching	1102	1	S9	S1	b
120.483	2	ShapeMatching	1074	1	S4	S5	b
132.983	2	FaceMatching	1486	1	Stim4_Base	Stim4_Base	c
136.5	2	FaceMatching	1297	1	Stim7_LargeDistance	Stim7_Base	b
140.5	2	FaceMatching	1449	1	Stim6_LargeDistance	Stim6_Base	b
143.5	2	FaceMatching	1497	1	Stim1_Base	Stim1_Base	c
147.0	2	FaceMatching	1381	1	Stim7_Base	Stim7_Base	c
151.0	2	FaceMatching	1149	0	Stim3_Base	Stim3_SmallDistance	b
165.483	2	FaceMatching	1170	0	Stim5_Base	Stim5_SmallDistance	b
169.0	2	FaceMatching	1181	1	Stim9_Base	Stim9_Base	c
173.0	2	FaceMatching	1141	1	Stim6_Base	Stim6_Base	c
176.0	2	FaceMatching	1117	1	Stim8_Base	Stim8_Base	c
179.5	2	FaceMatching	1113	0	Stim1_Base	Stim1_SmallDistance	b
182.5	2	FaceMatching	1137	1	Stim3_Base	Stim3_Base	c
200.983	2	NumberMatching	918	1	N3	D3_1	c
203.983	2	NumberMatching	1102	1	D8_1	N5	b
207.983	2	NumberMatching	1070	0	N9	D9_1	c
211.483	2	NumberMatching	1298	1	D6_2	N6	c
215.483	2	NumberMatching	1386	1	N3	D5_2	b
218.483	2	NumberMatching	1146	1	D2_2	N2	c
233.483	2	ShapeMatching	1362	1	S1	S2	b
237.483	2	ShapeMatching	1002	1	S5	S6	b
240.983	2	ShapeMatching	1206	1	S8	S9	b
243.983	2	ShapeMatching	1078	1	S7	S7	c
247.983	2	ShapeMatching	998	1	S9	S9	c
250.983	2	ShapeMatching	910	1	S3	S3	c
265.983	2	NumberMatching	958	1	N1	D1_1	c
269.983	2	NumberMatching	926	1	N1	D4_2	b
272.983	2	NumberMatching	1286	1	D6_1	N3	b
276.483	2	NumberMatching	1314	0	N7	D7_1	c
280.483	2	NumberMatching	1482	0	D4_2	N4	c
283.983	2	NumberMatching	1382	1	N5	D5_1	c
