onset	duration	trial_type	response_time	correct
13.217	1.5	STM5	1015	1
24.617	1.5	STM5	1399	1
34.833	1.5	STM5	1311	1
44.55	1.5	STM5	1450	0
53.767	1.5	STM5	1249	1
63.484	1.5	STM5	964	1
80.65	1.5	STM3	1158	1
88.3	1.5	STM3	1116	0
96.45	1.5	STM3	1486	1
103.6	1.5	STM3	1504	1
111.25	1.5	STM3	1334	0
119.4	1.5	STM3	1496	1
135.567	1.5	CON3	849	0
143.717	1.5	CON3	563	0
151.367	1.5	CON3	1121	0
158.517	1.5	CON3	547	0
166.167	1.5	CON3	649	0
174.317	1.5	CON3	467	0
192.55	1.5	CON5	586	0
202.267	1.5	CON5	645	0
212.484	1.5	CON5	988	0
221.7	1.5	CON5	524	0
231.417	1.5	CON5	1519	0
241.634	1.5	CON5	502	0
