onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.967	2	ShapeMatching	1071	1	S6	S7	b
12.983	2	ShapeMatching	1239	1	S1	S2	b
16.483	2	ShapeMatching	1587	1	S7	S8	b
19.483	2	ShapeMatching	1267	1	S9	S1	b
23.483	2	ShapeMatching	1227	1	S8	S8	c
26.983	2	ShapeMatching	871	1	S3	S4	b
44.467	2	FaceMatching	1419	1	Stim2_Base	Stim2_Base	c
48.0	2	FaceMatching	1366	0	Stim6_LargeDistance	Stim6_Base	b
52.0	2	FaceMatching	1206	1	Stim5_Base	Stim5_Base	c
55.0	2	FaceMatching	1398	1	Stim7_LargeDistance	Stim7_Base	b
58.5	2	FaceMatching	1154	1	Stim7_Base	Stim7_Base	c
62.5	2	FaceMatching	1690	0	Stim5_Base	Stim5_SmallDistance	b
76.967	2	FaceMatching	1087	1	Stim3_Base	Stim3_Base	c
81.0	2	FaceMatching	1526	1	Stim9_Base	Stim9_Base	c
84.0	2	FaceMatching	1398	1	Stim8_Base	Stim8_Base	c
87.5	2	FaceMatching	1594	1	Stim6_Base	Stim6_Base	c
90.5	2	FaceMatching	1538	1	Stim4_Base	Stim4_SmallDistance	b
94.5	2	FaceMatching	0	0	Stim3_Base	Stim3_SmallDistance	b
112.467	2	NumberMatching	1619	1	N9	D9_1	c
115.483	2	NumberMatching	1515	1	N7	D4_2	b
119.483	2	NumberMatching	0	0	N9	D7_2	b
122.983	2	NumberMatching	1415	1	D2_2	N2	c
125.983	2	NumberMatching	1215	1	D4_2	N4	c
129.467	2	NumberMatching	2515	1	D6_2	N6	c
147.967	2	NumberMatching	1695	1	D2_1	N5	b
150.983	2	NumberMatching	1271	1	N1	D4_2	b
154.983	2	NumberMatching	1351	1	N3	D5_2	b
158.483	2	NumberMatching	1299	1	D6_1	N3	b
161.483	2	NumberMatching	1563	0	D8_2	N8	c
165.483	2	NumberMatching	1515	1	D8_1	N5	b
180.467	2	NumberMatching	1435	1	N5	D1_2	b
184.483	2	NumberMatching	1299	1	N3	D3_1	c
187.483	2	NumberMatching	1683	1	D4_1	N8	b
190.983	2	NumberMatching	1727	1	N5	D5_1	c
194.983	2	NumberMatching	0	0	N7	D7_1	c
198.483	2	NumberMatching	11	1	N1	D1_1	c
209.967	2	FaceMatching	1895	1	Stim8_LargeDistance	Stim8_Base	b
214.0	2	FaceMatching	1766	1	Stim9_LargeDistance	Stim9_Base	b
217.0	2	FaceMatching	1646	0	Stim1_Base	Stim1_SmallDistance	b
220.5	2	FaceMatching	1578	0	Stim2_Base	Stim2_SmallDistance	b
224.5	2	FaceMatching	1474	1	Stim4_Base	Stim4_Base	c
227.5	2	FaceMatching	1882	1	Stim1_Base	Stim1_Base	c
239.467	2	ShapeMatching	923	1	S1	S1	c
243.483	2	ShapeMatching	1491	1	S2	S2	c
246.983	2	ShapeMatching	1647	1	S8	S9	b
249.983	2	ShapeMatching	1399	1	S5	S6	b
253.483	2	ShapeMatching	1331	1	S9	S9	c
257.483	2	ShapeMatching	1259	1	S6	S6	c
268.967	2	ShapeMatching	1079	1	S5	S5	c
272.983	2	ShapeMatching	967	1	S4	S5	b
276.483	2	ShapeMatching	803	1	S4	S4	c
279.483	2	ShapeMatching	907	1	S7	S7	c
283.483	2	ShapeMatching	939	1	S2	S3	b
286.467	2	ShapeMatching	1043	1	S3	S3	c
