onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.984	2	NumberMatching	1398	1	D4_2	N4	c
12.984	2	NumberMatching	1686	1	D4_1	N8	b
15.984	2	NumberMatching	1366	1	D2_1	N5	b
19.484	2	NumberMatching	1402	1	N5	D5_1	c
22.484	2	NumberMatching	2442	0	D8_2	N8	c
25.984	2	NumberMatching	1014	1	N1	D1_1	c
38.484	2	ShapeMatching	946	1	S1	S1	c
41.984	2	ShapeMatching	1486	1	S3	S3	c
44.984	2	ShapeMatching	1518	1	S4	S5	b
48.984	2	ShapeMatching	1166	1	S7	S7	c
52.484	2	ShapeMatching	1394	1	S8	S8	c
56.484	2	ShapeMatching	1042	1	S5	S5	c
73.984	2	FaceMatching	1478	0	Stim5_Base	Stim5_Base	c
77.5	2	FaceMatching	1754	1	Stim7_LargeDistance	Stim7_Base	b
80.5	2	FaceMatching	1962	1	Stim8_LargeDistance	Stim8_Base	b
84.5	2	FaceMatching	1466	1	Stim2_Base	Stim2_Base	c
88.0	2	FaceMatching	2414	1	Stim8_Base	Stim8_Base	c
90.984	2	FaceMatching	806	1	Stim7_Base	Stim7_Base	c
106.484	2	FaceMatching	1314	1	Stim2_Base	Stim2_SmallDistance	b
110.0	2	FaceMatching	1134	1	Stim5_Base	Stim5_SmallDistance	b
112.984	2	FaceMatching	910	1	Stim4_Base	Stim4_SmallDistance	b
116.984	2	FaceMatching	1406	1	Stim6_LargeDistance	Stim6_Base	b
120.5	2	FaceMatching	1290	0	Stim3_Base	Stim3_Base	c
123.5	2	FaceMatching	714	1	Stim9_Base	Stim9_Base	c
141.984	2	ShapeMatching	1142	1	S4	S4	c
145.484	2	ShapeMatching	1682	1	S2	S2	c
149.484	2	ShapeMatching	1138	1	S8	S9	b
152.484	2	ShapeMatching	1026	0	S7	S8	b
155.984	2	ShapeMatching	1526	1	S9	S9	c
158.984	2	ShapeMatching	1270	1	S2	S3	b
174.484	2	NumberMatching	1834	1	N1	D4_2	b
177.484	2	NumberMatching	1098	1	D2_2	N2	c
181.484	2	NumberMatching	2242	0	N9	D7_2	b
184.984	2	NumberMatching	1374	1	N3	D5_2	b
187.984	2	NumberMatching	1414	1	N9	D9_1	c
191.984	2	NumberMatching	1814	1	N7	D7_1	c
206.984	2	ShapeMatching	910	1	S6	S6	c
210.984	2	ShapeMatching	1142	1	S9	S1	b
213.984	2	ShapeMatching	1526	1	S5	S6	b
217.484	2	ShapeMatching	1362	0	S6	S7	b
221.484	2	ShapeMatching	2050	1	S1	S2	b
224.484	2	ShapeMatching	1298	1	S3	S4	b
236.484	2	NumberMatching	1514	1	N7	D4_2	b
239.484	2	NumberMatching	2282	1	D6_2	N6	c
243.484	2	NumberMatching	1346	1	N3	D3_1	c
246.984	2	NumberMatching	1310	1	N5	D1_2	b
249.984	2	NumberMatching	1606	1	D6_1	N3	b
253.484	2	NumberMatching	1242	1	D8_1	N5	b
271.984	2	FaceMatching	1774	1	Stim1_Base	Stim1_Base	c
275.001	2	FaceMatching	2253	1	Stim4_Base	Stim4_Base	c
278.484	2	FaceMatching	818	0	Stim3_Base	Stim3_SmallDistance	b
282.501	2	FaceMatching	1177	1	Stim1_Base	Stim1_SmallDistance	b
286.001	2	FaceMatching	1573	1	Stim6_Base	Stim6_Base	c
289.001	2	FaceMatching	1413	1	Stim9_LargeDistance	Stim9_Base	b
