onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.983	2	NumberMatching	3071	1	N5	D5_1	c
12.983	2	NumberMatching	1566	0	D8_2	N8	c
16.067	2	NumberMatching	3322	1	D6_2	N6	c
19.483	2	NumberMatching	3810	1	N9	D9_1	c
23.483	2	NumberMatching	2890	0	N7	D7_1	c
26.983	2	NumberMatching	2350	1	N1	D4_2	b
38.483	2	FaceMatching	1866	1	Stim9_LargeDistance	Stim9_Base	b
42.5	2	FaceMatching	2530	1	Stim4_Base	Stim4_Base	c
45.483	2	FaceMatching	2138	1	Stim7_Base	Stim7_Base	c
48.983	2	FaceMatching	0	0	Stim6_LargeDistance	Stim6_Base	b
53.067	2	FaceMatching	1322	0	Stim1_Base	Stim1_SmallDistance	b
56.0	2	FaceMatching	2597	0	Stim1_Base	Stim1_Base	c
67.983	2	NumberMatching	1270	1	N1	D1_1	c
72.05	2	NumberMatching	1851	1	N5	D1_2	b
75.05	2	NumberMatching	1883	0	N9	D7_2	b
78.55	2	NumberMatching	0	0	D4_2	N4	c
81.567	2	NumberMatching	1358	1	D2_2	N2	c
85.067	2	NumberMatching	2650	1	D8_1	N5	b
100.483	2	FaceMatching	1418	1	Stim2_Base	Stim2_Base	c
104.0	2	FaceMatching	0	0	Stim3_Base	Stim3_SmallDistance	b
107.0	2	FaceMatching	1109	1	Stim6_Base	Stim6_Base	c
111.0	2	FaceMatching	0	0	Stim3_Base	Stim3_Base	c
114.05	2	FaceMatching	0	0	Stim7_LargeDistance	Stim7_Base	b
117.567	2	FaceMatching	0	0	Stim8_Base	Stim8_Base	c
132.983	2	NumberMatching	2438	1	N3	D5_2	b
136.483	2	NumberMatching	1890	1	D2_1	N5	b
139.55	2	NumberMatching	1519	1	N3	D3_1	c
143.533	2	NumberMatching	2720	1	D4_1	N8	b
146.483	2	NumberMatching	0	0	N7	D4_2	b
150.533	2	NumberMatching	2872	0	D6_1	N3	b
168.483	2	FaceMatching	2298	1	Stim5_Base	Stim5_Base	c
171.483	2	FaceMatching	74	0	Stim5_Base	Stim5_SmallDistance	b
175.0	2	FaceMatching	2517	0	Stim4_Base	Stim4_SmallDistance	b
178.983	2	FaceMatching	1758	1	Stim9_Base	Stim9_Base	c
182.0	2	FaceMatching	2885	0	Stim2_Base	Stim2_SmallDistance	b
185.983	2	FaceMatching	1838	1	Stim8_LargeDistance	Stim8_Base	b
203.983	2	ShapeMatching	1950	1	S8	S9	b
206.983	2	ShapeMatching	1406	1	S3	S4	b
211.05	2	ShapeMatching	1571	1	S6	S6	c
214.617	2	ShapeMatching	1964	1	S4	S5	b
217.483	2	ShapeMatching	1154	0	S1	S1	c
221.55	2	ShapeMatching	0	0	S2	S2	c
233.483	2	ShapeMatching	1226	1	S3	S3	c
237.483	2	ShapeMatching	2834	1	S5	S5	c
240.983	2	ShapeMatching	1750	1	S6	S7	b
243.983	2	ShapeMatching	1846	1	S7	S7	c
247.983	2	ShapeMatching	2478	1	S7	S8	b
250.983	2	ShapeMatching	3086	1	S1	S2	b
268.983	2	ShapeMatching	2398	1	S2	S3	b
272.983	2	ShapeMatching	2086	1	S9	S1	b
276.483	2	ShapeMatching	2706	1	S9	S9	c
279.483	2	ShapeMatching	0	0	S4	S4	c
283.0	2	ShapeMatching	0	0	S5	S6	b
285.983	2	ShapeMatching	2886	1	S8	S8	c
