onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.984	2	ShapeMatching	1049	1	S2	S3	b
12.5	2	ShapeMatching	845	1	S7	S7	c
16.5	2	ShapeMatching	981	1	S6	S6	c
19.5	2	ShapeMatching	957	1	S5	S5	c
23.5	2	ShapeMatching	773	1	S2	S2	c
27.0	2	ShapeMatching	729	1	S8	S9	b
41.484	2	NumberMatching	1125	1	N5	D1_2	b
45.0	2	NumberMatching	1481	1	D8_1	N5	b
49.0	2	NumberMatching	1025	1	N7	D4_2	b
52.0	2	NumberMatching	1409	1	D8_2	N8	c
55.484	2	NumberMatching	1653	1	N9	D7_2	b
58.5	2	NumberMatching	1645	1	D6_2	N6	c
70.984	2	FaceMatching	1225	1	Stim2_Base	Stim2_Base	c
74.0	2	FaceMatching	1161	1	Stim9_Base	Stim9_Base	c
77.5	2	FaceMatching	1125	1	Stim6_LargeDistance	Stim6_Base	b
81.5	2	FaceMatching	917	1	Stim2_Base	Stim2_SmallDistance	b
85.0	2	FaceMatching	1993	1	Stim1_Base	Stim1_Base	c
88.984	2	FaceMatching	1153	1	Stim5_Base	Stim5_Base	c
103.484	2	NumberMatching	1317	1	N1	D4_2	b
107.0	2	NumberMatching	1097	1	D2_2	N2	c
111.0	2	NumberMatching	929	1	D4_2	N4	c
114.0	2	NumberMatching	881	1	D2_1	N5	b
118.0	2	NumberMatching	1185	0	N3	D5_2	b
121.5	2	NumberMatching	765	0	N3	D3_1	c
138.984	2	ShapeMatching	1345	1	S1	S2	b
143.0	2	ShapeMatching	833	1	S4	S4	c
146.0	2	ShapeMatching	953	0	S5	S6	b
149.5	2	ShapeMatching	797	1	S9	S1	b
152.5	2	ShapeMatching	1325	1	S6	S7	b
156.0	2	ShapeMatching	777	1	S1	S1	c
168.484	2	FaceMatching	1389	1	Stim3_Base	Stim3_SmallDistance	b
172.0	2	FaceMatching	1073	1	Stim8_LargeDistance	Stim8_Base	b
176.0	2	FaceMatching	1113	1	Stim7_Base	Stim7_Base	c
179.0	2	FaceMatching	1129	0	Stim1_Base	Stim1_SmallDistance	b
183.0	2	FaceMatching	1137	1	Stim8_Base	Stim8_Base	c
186.0	2	FaceMatching	1057	1	Stim7_LargeDistance	Stim7_Base	b
203.984	2	NumberMatching	1321	0	N7	D7_1	c
207.0	2	NumberMatching	913	0	N5	D5_1	c
210.5	2	NumberMatching	1877	1	N9	D9_1	c
214.5	2	NumberMatching	917	1	D6_1	N3	b
217.5	2	NumberMatching	1141	1	D4_1	N8	b
221.5	2	NumberMatching	1205	1	N1	D1_1	c
236.484	2	FaceMatching	1645	1	Stim4_Base	Stim4_SmallDistance	b
240.5	2	FaceMatching	957	1	Stim9_LargeDistance	Stim9_Base	b
244.0	2	FaceMatching	1257	1	Stim3_Base	Stim3_Base	c
247.001	2	FaceMatching	1720	0	Stim6_Base	Stim6_Base	c
251.0	2	FaceMatching	1697	1	Stim4_Base	Stim4_Base	c
254.001	2	FaceMatching	1504	0	Stim5_Base	Stim5_SmallDistance	b
265.984	2	ShapeMatching	809	1	S3	S3	c
269.001	2	ShapeMatching	744	1	S3	S4	b
273.001	2	ShapeMatching	952	1	S7	S8	b
276.501	2	ShapeMatching	844	1	S9	S9	c
280.501	2	ShapeMatching	956	1	S4	S5	b
284.001	2	ShapeMatching	824	1	S8	S8	c
