onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.984	2	ShapeMatching	1717	1	S7	S5	b
11.984	2	ShapeMatching	1125	1	S1	S8	b
17.717	2	ShapeMatching	0	0	S3	S3	c
19.484	2	ShapeMatching	777	0	S2	S2	c
22.484	2	ShapeMatching	937	1	S6	S6	c
26.484	2	ShapeMatching	993	1	S5	S3	b
44.484	2	ShapeMatching	1297	1	S5	S5	c
48.484	2	ShapeMatching	1313	1	S2	S9	b
51.984	2	ShapeMatching	901	1	S1	S1	c
54.984	2	ShapeMatching	1261	1	S6	S4	b
58.484	2	ShapeMatching	1417	1	S3	S1	b
62.484	2	ShapeMatching	1241	1	S8	S6	b
76.984	2	NumberMatching	1085	1	D9_1	N5	b
80.984	2	NumberMatching	1685	1	N4	D2_2	b
84.484	2	NumberMatching	1601	0	N8	D6_2	b
87.484	2	NumberMatching	1417	1	N6	D9_2	b
91.484	2	NumberMatching	1393	1	N2	D2_1	c
94.484	2	NumberMatching	1217	0	D1_2	N1	c
109.484	2	NumberMatching	2097	1	D9_2	N9	c
113.484	2	NumberMatching	1729	0	D1_1	N3	b
116.484	2	NumberMatching	2081	0	D5_2	N5	c
119.984	2	NumberMatching	1229	1	N4	D4_1	c
123.984	2	NumberMatching	1493	1	D7_1	N3	b
126.984	2	NumberMatching	1485	1	D5_1	N7	b
144.984	2	FaceMatching	1973	1	Stim9_LargeDistance	Stim9_LargeDistance	c
149.0	2	FaceMatching	1557	1	Stim4_LargeDistance	Stim4_LargeDistance	c
152.5	2	FaceMatching	1337	1	Stim4_LargeDistance	Stim4_Base	b
155.5	2	FaceMatching	1529	0	Stim2_LargeDistance	Stim2_LargeDistance	c
159.5	2	FaceMatching	1401	1	Stim1_LargeDistance	Stim1_Base	b
162.5	2	FaceMatching	0	0	Stim1_LargeDistance	Stim1_LargeDistance	c
174.484	2	ShapeMatching	2353	1	S9	S9	c
178.484	2	ShapeMatching	1249	1	S9	S7	b
181.484	2	ShapeMatching	953	1	S8	S8	c
184.984	2	ShapeMatching	917	1	S4	S2	b
187.984	2	ShapeMatching	805	1	S7	S7	c
191.984	2	ShapeMatching	973	1	S4	S4	c
203.984	2	FaceMatching	1237	0	Stim6_LargeDistance	Stim6_LargeDistance	c
208.001	2	FaceMatching	1548	1	Stim7_Base	Stim7_SmallDistance	b
211.501	2	FaceMatching	2192	1	Stim3_LargeDistance	Stim3_Base	b
214.484	2	FaceMatching	1593	1	Stim8_Base	Stim8_SmallDistance	b
218.001	2	FaceMatching	1732	1	Stim2_LargeDistance	Stim2_Base	b
222.001	2	FaceMatching	1276	1	Stim7_LargeDistance	Stim7_LargeDistance	c
236.484	2	NumberMatching	1457	1	D3_1	N7	b
239.984	2	NumberMatching	1949	1	N8	D8_1	c
242.984	2	NumberMatching	2429	1	N6	D6_1	c
246.984	2	NumberMatching	1661	1	N2	D6_2	b
249.984	2	NumberMatching	1733	1	D7_2	N7	c
253.484	2	NumberMatching	1601	1	D3_2	N3	c
265.984	2	FaceMatching	2117	1	Stim9_Base	Stim9_SmallDistance	b
268.984	2	FaceMatching	1685	1	Stim5_LargeDistance	Stim5_LargeDistance	c
273.001	2	FaceMatching	1436	1	Stim6_Base	Stim6_SmallDistance	b
276.501	2	FaceMatching	1536	1	Stim8_LargeDistance	Stim8_LargeDistance	c
279.501	2	FaceMatching	1536	1	Stim5_LargeDistance	Stim5_Base	b
283.001	2	FaceMatching	1308	1	Stim3_LargeDistance	Stim3_LargeDistance	c
