onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.966	2	ShapeMatching	1087	1	S2	S3	b
12.983	2	ShapeMatching	966	1	S7	S8	b
16.283	2	ShapeMatching	754	1	S6	S7	b
19.483	2	ShapeMatching	602	1	S4	S4	c
22.483	2	ShapeMatching	506	1	S1	S1	c
26.483	2	ShapeMatching	874	1	S5	S6	b
44.467	2	FaceMatching	1346	0	Stim1_Base	Stim1_Base	c
47.5	2	FaceMatching	1113	1	Stim7_LargeDistance	Stim7_Base	b
51.5	2	FaceMatching	1417	1	Stim5_Base	Stim5_Base	c
55.0	2	FaceMatching	1781	0	Stim8_Base	Stim8_Base	c
58.0	2	FaceMatching	1405	0	Stim3_Base	Stim3_Base	c
62.0	2	FaceMatching	1501	0	Stim6_Base	Stim6_Base	c
76.966	2	FaceMatching	2183	1	Stim2_Base	Stim2_Base	c
80.967	2	FaceMatching	974	1	Stim4_Base	Stim4_SmallDistance	b
84.0	2	FaceMatching	1101	0	Stim9_Base	Stim9_Base	c
87.5	2	FaceMatching	1193	1	Stim8_LargeDistance	Stim8_Base	b
90.5	2	FaceMatching	1449	1	Stim3_Base	Stim3_SmallDistance	b
94.5	2	FaceMatching	1393	1	Stim6_LargeDistance	Stim6_Base	b
112.467	2	NumberMatching	1218	1	N3	D3_1	c
116.483	2	NumberMatching	1858	1	D6_2	N6	c
119.983	2	NumberMatching	983	1	D2_1	N5	b
122.983	2	NumberMatching	1142	1	N3	D5_2	b
126.483	2	NumberMatching	1442	1	N5	D5_1	c
130.483	2	NumberMatching	986	1	N5	D1_2	b
147.967	2	NumberMatching	2342	1	N9	D9_1	c
151.967	2	NumberMatching	2414	1	N9	D7_2	b
155.467	2	NumberMatching	1370	1	D4_1	N8	b
158.483	2	NumberMatching	2066	1	N7	D7_1	c
162.467	2	NumberMatching	1106	1	N7	D4_2	b
165.983	2	NumberMatching	1142	1	D4_2	N4	c
180.467	2	FaceMatching	1274	1	Stim2_Base	Stim2_SmallDistance	b
184.0	2	FaceMatching	1645	0	Stim4_Base	Stim4_Base	c
188.0	2	FaceMatching	1013	1	Stim9_LargeDistance	Stim9_Base	b
191.0	2	FaceMatching	1517	1	Stim7_Base	Stim7_Base	c
194.5	2	FaceMatching	1105	1	Stim1_Base	Stim1_SmallDistance	b
198.5	2	FaceMatching	1425	1	Stim5_Base	Stim5_SmallDistance	b
209.967	2	ShapeMatching	1550	1	S2	S2	c
213.483	2	ShapeMatching	882	1	S4	S5	b
216.483	2	ShapeMatching	1042	1	S3	S4	b
220.483	2	ShapeMatching	1026	1	S8	S8	c
223.483	2	ShapeMatching	1050	1	S3	S3	c
227.483	2	ShapeMatching	970	1	S5	S5	c
239.467	2	ShapeMatching	978	1	S1	S2	b
243.483	2	ShapeMatching	850	1	S6	S6	c
246.483	2	ShapeMatching	834	1	S9	S1	b
249.983	2	ShapeMatching	822	1	S9	S9	c
253.983	2	ShapeMatching	750	1	S8	S9	b
257.483	2	ShapeMatching	874	1	S7	S7	c
271.967	2	NumberMatching	1126	1	D2_2	N2	c
275.983	2	NumberMatching	894	1	N1	D1_1	c
278.983	2	NumberMatching	1622	1	D6_1	N3	b
282.484	2	NumberMatching	1417	1	D8_1	N5	b
285.484	2	NumberMatching	2337	0	D8_2	N8	c
288.967	2	NumberMatching	1534	1	N1	D4_2	b
