onset	duration	trial_type	response_time	correct	left_stim	right_stim	correct_response
8.967	2	ShapeMatching	1551	1	S6	S6	c
11.983	2	ShapeMatching	1303	1	S6	S4	b
16.367	2	ShapeMatching	1783	1	S7	S5	b
19.467	2	ShapeMatching	1179	1	S8	S8	c
22.483	2	ShapeMatching	1131	1	S5	S5	c
25.983	2	ShapeMatching	1167	1	S2	S2	c
44.467	2	ShapeMatching	1075	1	S7	S7	c
47.483	2	ShapeMatching	1379	1	S9	S7	b
51.483	2	ShapeMatching	1203	1	S3	S3	c
54.983	2	ShapeMatching	1511	1	S9	S9	c
58.983	2	ShapeMatching	999	1	S4	S2	b
61.983	2	ShapeMatching	1079	1	S5	S3	b
73.967	2	NumberMatching	1239	1	D7_1	N3	b
77.983	2	NumberMatching	1223	1	D3_2	N3	c
80.983	2	NumberMatching	2031	1	N8	D6_2	b
84.467	2	NumberMatching	1219	1	D9_1	N5	b
88.483	2	NumberMatching	1387	1	N4	D4_1	c
91.983	2	NumberMatching	1303	1	D1_2	N1	c
106.467	2	FaceMatching	1555	1	Stim9_LargeDistance	Stim9_LargeDistance	c
110.0	2	FaceMatching	1342	1	Stim3_LargeDistance	Stim3_LargeDistance	c
113.0	2	FaceMatching	1126	1	Stim2_LargeDistance	Stim2_Base	b
117.0	2	FaceMatching	1558	1	Stim1_LargeDistance	Stim1_Base	b
120.0	2	FaceMatching	1374	1	Stim2_LargeDistance	Stim2_LargeDistance	c
124.0	2	FaceMatching	1382	1	Stim8_Base	Stim8_SmallDistance	b
138.967	2	ShapeMatching	999	1	S1	S1	c
141.983	2	ShapeMatching	1495	1	S3	S1	b
145.983	2	ShapeMatching	1039	1	S4	S4	c
149.483	2	ShapeMatching	1579	1	S1	S8	b
153.483	2	ShapeMatching	1675	1	S8	S6	b
156.483	2	ShapeMatching	1891	1	S2	S9	b
171.467	2	NumberMatching	1555	1	D5_1	N7	b
174.483	2	NumberMatching	1611	1	D3_1	N7	b
177.983	2	NumberMatching	1023	1	D7_2	N7	c
181.983	2	NumberMatching	1655	1	N4	D2_2	b
184.983	2	NumberMatching	1127	1	N2	D6_2	b
188.483	2	NumberMatching	1747	1	D1_1	N3	b
200.967	2	FaceMatching	1655	1	Stim3_LargeDistance	Stim3_Base	b
204.5	2	FaceMatching	1554	1	Stim5_LargeDistance	Stim5_Base	b
208.5	2	FaceMatching	1778	1	Stim4_LargeDistance	Stim4_Base	b
211.5	2	FaceMatching	1482	1	Stim5_LargeDistance	Stim5_LargeDistance	c
215.0	2	FaceMatching	1254	1	Stim1_LargeDistance	Stim1_LargeDistance	c
218.0	2	FaceMatching	1302	0	Stim7_Base	Stim7_SmallDistance	b
230.467	2	NumberMatching	1323	1	D5_2	N5	c
233.983	2	NumberMatching	1183	1	D9_2	N9	c
237.983	2	NumberMatching	2023	1	N8	D8_1	c
240.967	2	NumberMatching	1671	1	N6	D9_2	b
244.983	2	NumberMatching	1039	1	N2	D2_1	c
247.983	2	NumberMatching	1191	1	N6	D6_1	c
265.967	2	FaceMatching	1319	1	Stim4_LargeDistance	Stim4_LargeDistance	c
269.0	2	FaceMatching	934	1	Stim7_LargeDistance	Stim7_LargeDistance	c
272.5	2	FaceMatching	1050	1	Stim8_LargeDistance	Stim8_LargeDistance	c
276.5	2	FaceMatching	1370	1	Stim9_Base	Stim9_SmallDistance	b
280.0	2	FaceMatching	1598	1	Stim6_LargeDistance	Stim6_LargeDistance	c
283.0	2	FaceMatching	1454	1	Stim6_Base	Stim6_SmallDistance	b
